8,25.17,52,5,2.05,403,0.01,0.1,0.01,2.69,12.04
9,25.17,52,5,2.17,417,0.01,0.1,0.01,3.97,19.57
10,25.17,52,5,2.03,425,0.01,0.1,0.01,3.71,18.18
11,25.17,52,5,2.25,495,0.01,0.1,0.01,5.54,32.92
12,25.17,52,5,2.07,549,0.01,0.1,0.01,5.41,36.32
13,25.17,52,5,2.24,534,0.01,0.1,0.01,6.72,44.19
14,25.17,52,5,2.12,535,0.01,0.1,0.01,6.18,41.26
15,25.17,52,5,2.12,539,0.01,0.1,0.01,6.46,42.53
16,25.17,52,5,1.96,529,0.01,0.1,0.01,6.58,43.14
17,25.17,52,5,1.77,525,0.01,0.1,0.01,6.63,43.72
18,25.17,52,5,1.72,510,0.01,0.1,0.01,6.14,38.27
19,25.17,52,5,1.81,514,0.01,0.1,0.01,6.16,37.62
20,25.17,52,5,1.62,527,0.01,0.1,0.01,6.9,44.96
21,25.17,52,5,1.55,523,0.01,0.1,0.01,6.32,40.15
22,25.17,52,5,1.57,518,0.01,0.1,0.01,5.47,33.82
23,25.17,52,5,1.61,537,0.01,0.1,0.01,6.34,39.4
24,25.17,52,5,1.5,551,0.01,0.1,0.01,6.19,41.43
1,25.17,52,5,1.8,291,0.01,1,0.01,0,0
2,25.17,52,5,2.02,293,0.01,1,0.01,0.65,1.86
3,25.17,52,5,1.88,305,0.01,1,0.01,0.57,1.66
4,25.17,52,5,1.93,348,0.01,1,0.01,1.44,5.06
5,25.17,52,5,1.95,380,0.01,1,0.01,1.78,7.24
6,25.17,52,5,2.03,372,0.01,1,0.01,1.81,7.41
7,25.17,52,5,2.18,389,0.01,1,0.01,2.41,10.14
8,25.17,52,5,2.03,415,0.01,1,0.01,3.03,14.11
9,25.17,52,5,2.13,417,0.01,1,0.01,4.38,21.4
10,25.17,52,5,2.03,446,0.01,1,0.01,4.02,21.62
11,25.17,52,5,2.21,507,0.01,1,0.01,6,37.45
12,25.17,52,5,2.08,557,0.01,1,0.01,5.68,38.16
13,25.17,52,5,2.24,554,0.01,1,0.01,7.57,51.26
14,25.17,52,5,2.05,553,0.01,1,0.01,6.81,48.56
15,25.17,52,5,2.12,561,0.01,1,0.01,7.18,50.37
16,25.17,52,5,1.93,533,0.01,1,0.01,6.63,42.65
17,25.17,52,5,1.7,551,0.01,1,0.01,7.25,50.01
18,25.17,52,5,1.71,542,0.01,1,0.01,6.2,39.51
19,25.17,52,5,1.78,560,0.01,1,0.01,6.92,48.36
20,25.17,52,5,1.58,537,0.01,1,0.01,7.42,47.04
21,25.17,52,5,1.51,548,0.01,1,0.01,6.34,42.56
22,25.17,52,5,1.53,531,0.01,1,0.01,6.15,38.55
23,25.17,52,5,1.6,560,0.01,1,0.01,6.19,42.9
24,25.17,52,5,1.44,559,0.01,1,0.01,6.53,45.82
1,25.17,52,5,1.83,286,0.01,0.01,0.1,0,0
2,25.17,52,5,2.11,281,0.01,0.01,0.1,0.42,1.14
3,25.17,52,5,1.93,277,0.01,0.01,0.1,0.4,1.06
4,25.17,52,5,1.96,334,0.01,0.01,0.1,1.35,4.58
5,25.17,52,5,2,378,0.01,0.01,0.1,1.52,6.16
6,25.17,52,5,2.04,357,0.01,0.01,0.1,1.39,5.35
7,25.17,52,5,2.23,367,0.01,0.01,0.1,2.13,8.87
8,25.17,52,5,2.07,405,0.01,0.01,0.1,2.94,13.2
9,25.17,52,5,2.15,418,0.01,0.01,0.1,3.68,18.01
10,25.17,52,5,2.08,417,0.01,0.01,0.1,3.77,17.67
11,25.17,52,5,2.22,502,0.01,0.01,0.1,5.72,33.73
12,25.17,52,5,2.16,546,0.01,0.01,0.1,5.1,32.2
13,25.17,52,5,2.27,528,0.01,0.01,0.1,7.47,50.32
14,25.17,52,5,2.11,528,0.01,0.01,0.1,5.89,36.95
15,25.17,52,5,2.14,539,0.01,0.01,0.1,6.82,43.71
16,25.17,52,5,1.97,526,0.01,0.01,0.1,6.54,42.83
17,25.17,52,5,1.73,530,0.01,0.01,0.1,6.56,42
18,25.17,52,5,1.77,509,0.01,0.01,0.1,6.17,37.19
19,25.17,52,5,1.81,525,0.01,0.01,0.1,5.76,37.72
20,25.17,52,5,1.65,516,0.01,0.01,0.1,6.69,41.39
21,25.17,52,5,1.59,524,0.01,0.01,0.1,5.8,36.26
22,25.17,52,5,1.55,514,0.01,0.01,0.1,5.41,32.13
23,25.17,52,5,1.7,527,0.01,0.01,0.1,5.78,36.74
24,25.17,52,5,1.52,545,0.01,0.01,0.1,5.62,36.63
1,25.17,52,5,1.88,291,0.01,0.01,1,0,0
2,25.17,52,5,2.13,285,0.01,0.01,1,0.54,1.46
